Bill,Bill Type,Bill Num,Session,Bill Status,Money Given in Favor of Bill,Money Given in against the Bill,Bill Title,Bill URL
900834,hr,1057,112,UNOPPOSED,3216142,0,,http://maplight.org/us-congress/bill/112-hr-1057/900834/total-contributions
979604,s,1058,112,UNOPPOSED,1966639,7697193,,http://maplight.org/us-congress/bill/112-s-1058/979604/total-contributions
980011,s,1059,112,UNOPPOSED,23006529,0,,http://maplight.org/us-congress/bill/112-s-1059/980011/total-contributions
900841,hr,1062,112,UNOPPOSED,2232565,3018073,,http://maplight.org/us-congress/bill/112-hr-1062/900841/total-contributions
980019,s,1067,112,UNOPPOSED,384778,12043304,,http://maplight.org/us-congress/bill/112-s-1067/980019/total-contributions
900853,hr,1070,112,PASSED,24776576,350403,Small Company Capital Formation Act of 2011,http://maplight.org/us-congress/bill/112-hr-1070/900853/total-contributions
1020016,hr,1070,112,PASSED,24776576,350403,Small Company Capital Formation Act of 2011,http://maplight.org/us-congress/bill/112-hr-1070/1020016/total-contributions
901415,hr,1076,112,PASSED,8397602,3615552,To Prohibit Federal Funding of National Public Radio and the Use of Federal Funds to Acquire Radio Content.,http://maplight.org/us-congress/bill/112-hr-1076/901415/total-contributions
900906,hr,1076,112,PASSED,8397602,3615552,To Prohibit Federal Funding of National Public Radio and the Use of Federal Funds to Acquire Radio Content.,http://maplight.org/us-congress/bill/112-hr-1076/900906/total-contributions
900913,hr,1081,112,UNOPPOSED,20210520,1520931,,http://maplight.org/us-congress/bill/112-hr-1081/900913/total-contributions
900914,hr,1082,112,UNOPPOSED,13822709,1282359,,http://maplight.org/us-congress/bill/112-hr-1082/900914/total-contributions
982031,s,1082,112,PASSED,6693046,0,Small Business Additional Temporary Extension Act of 2011,http://maplight.org/us-congress/bill/112-s-1082/982031/total-contributions
900918,hr,1084,112,UNOPPOSED,4991054,15178886,,http://maplight.org/us-congress/bill/112-hr-1084/900918/total-contributions
980957,s,1085,112,UNOPPOSED,1744247,0,,http://maplight.org/us-congress/bill/112-s-1085/980957/total-contributions
900922,hr,1086,112,UNOPPOSED,8738380,0,,http://maplight.org/us-congress/bill/112-hr-1086/900922/total-contributions
980959,s,1087,112,UNOPPOSED,10139791,4721884,,http://maplight.org/us-congress/bill/112-s-1087/980959/total-contributions
980966,s,1094,112,UNOPPOSED,7185722,0,,http://maplight.org/us-congress/bill/112-s-1094/980966/total-contributions
980972,s,1100,112,UNOPPOSED,93586984,0,,http://maplight.org/us-congress/bill/112-s-1100/980972/total-contributions
980974,s,1102,112,UNOPPOSED,53636949,0,,http://maplight.org/us-congress/bill/112-s-1102/980974/total-contributions
980986,s,1113,112,UNOPPOSED,15998359,0,,http://maplight.org/us-congress/bill/112-s-1113/980986/total-contributions
901351,hr,1116,112,UNOPPOSED,4100998,157670,,http://maplight.org/us-congress/bill/112-hr-1116/901351/total-contributions
901358,hr,1121,112,UNOPPOSED,18568892,9810273,,http://maplight.org/us-congress/bill/112-hr-1121/901358/total-contributions
981002,s,1129,112,UNOPPOSED,1742422,4035223,,http://maplight.org/us-congress/bill/112-s-1129/981002/total-contributions
981011,s,1138,112,UNOPPOSED,38900,7661118,,http://maplight.org/us-congress/bill/112-s-1138/981011/total-contributions
901739,hr,1148,112,UNOPPOSED,3110714,0,,http://maplight.org/us-congress/bill/112-hr-1148/901739/total-contributions
985535,s,1151,112,UNOPPOSED,4124614,1165115,,http://maplight.org/us-congress/bill/112-s-1151/985535/total-contributions
901763,hr,1161,112,UNOPPOSED,0,2108610,,http://maplight.org/us-congress/bill/112-hr-1161/901763/total-contributions
